,Departamento,DPTO_CCDGO,Codigo_Departamento,Total_votos,votos_en_blanco,votos_no_marcados,votos_nulos,Total_votos_No_Validos,votos_en_blanco_Norm,votos_no_marcados_Norm,votos_nulos_Norm,Total_votos_No_Validos_Norm,Total_Partidos,Total_Partidos_95,Partido_1,Partido_2,Partido_3,Partido_4,Partido_5,ALF_Sabe_Leer,ALF_No_Sabe_Leer,ALF_SININF,ALF_Sabe_Leer_Norm,ALF_No_Sabe_Leer_Norm,ALF_SININF_Norm,EDAD_0-4_anos,EDAD_5-9_anos,EDAD_10-14_anos,EDAD_15-19_anos,EDAD_20-24_anos,EDAD_25-29_anos,EDAD_30-34_anos,EDAD_35-39_anos,EDAD_40-44_anos,EDAD_45-49_anos,EDAD_50-54_anos,EDAD_55-59_anos,EDAD_60-64_anos,EDAD_65-69_anos,EDAD_70-74_anos,EDAD_75-79_anos,EDAD_80-84_anos,EDAD_85_anos_y_mas,EDAD_0-4_anos_Norm_Norm,EDAD_5-9_anos_Norm_Norm,EDAD_10-14_anos_Norm_Norm,EDAD_15-19_anos_Norm_Norm,EDAD_20-24_anos_Norm_Norm,EDAD_25-29_anos_Norm_Norm,EDAD_30-34_anos_Norm_Norm,EDAD_35-39_anos_Norm_Norm,EDAD_40-44_anos_Norm_Norm,EDAD_45-49_anos_Norm_Norm,EDAD_50-54_anos_Norm_Norm,EDAD_55-59_anos_Norm_Norm,EDAD_60-64_anos_Norm_Norm,EDAD_65-69_anos_Norm_Norm,EDAD_70-74_anos_Norm_Norm,EDAD_75-79_anos_Norm_Norm,EDAD_80-84_anos_Norm_Norm,EDAD_85_anos_y_mas_Norm_Norm,ED_Ninguno,ED_Preescolar,ED_Primaria_Completa,ED_Primaria_Incompleta,ED_Secundaria_Completa,ED_Secundaria_Incompleta,ED_Media_Completa,ED_Media_Incompleta,ED_Normal_Completa,ED_Normal_Incompleta,ED_Tecnico,ED_Tecnologico,ED_Universitario,ED_Postgrado,ED_SININF,ED_Ninguno_Norm,ED_Preescolar_Norm,ED_Primaria_Completa_Norm,ED_Primaria_Incompleta_Norm,ED_Secundaria_Completa_Norm,ED_Secundaria_Incompleta_Norm,ED_Media_Completa_Norm,ED_Media_Incompleta_Norm,ED_Normal_Completa_Norm,ED_Normal_Incompleta_Norm,ED_Tecnico_Norm,ED_Tecnologico_Norm,ED_Universitario_Norm,ED_Postgrado_Norm,ED_SININF_Norm,ET_Indigena,ET_Gitano,ET_Raizal,ET_Palenquero,ET_Negro,ET_NOETNIA,ET_SININF,ET_Indigena_Norm,ET_Gitano_Norm,ET_Raizal_Norm,ET_Palenquero_Norm,ET_Negro_Norm,ET_NOETNIA_Norm,ET_SININF_Norm,Total_x,EST_Union_libre_x,EST_Casado_x,EST_Divorciado_x,EST_Separado_de_union_libre_x,EST_Separado_de_matrimonio_x,EST_Viudo_x,EST_Soltero_x,EST_SININF_x,EST_Union_libre_Norm_x,EST_Casado_Norm_x,EST_Divorciado_Norm_x,EST_Separado_de_union_libre_Norm_x,EST_Separado_de_matrimonio_Norm_x,EST_Viudo_Norm_x,EST_Soltero_Norm_x,EST_SININF_Norm_x,Total_y,EST_Union_libre_y,EST_Casado_y,EST_Divorciado_y,EST_Separado_de_union_libre_y,EST_Separado_de_matrimonio_y,EST_Viudo_y,EST_Soltero_y,EST_SININF_y,EST_Union_libre_Norm_y,EST_Casado_Norm_y,EST_Divorciado_Norm_y,EST_Separado_de_union_libre_Norm_y,EST_Separado_de_matrimonio_Norm_y,EST_Viudo_Norm_y,EST_Soltero_Norm_y,EST_SININF_Norm_y,SAN_Inodoro-alcantarillado,SAN_Inodoro-pozo_septico,SAN_Inodoro_sin_conexion,SAN_Letrina,SAN_Inodoro-fuentes_de_agua,SAN_Sin_servicio_sanitario,SAN_SININF,SAN_Inodoro-alcantarillado_Norm,SAN_Inodoro-pozo_septico_Norm,SAN_Inodoro_sin_conexion_Norm,SAN_Letrina_Norm,SAN_Inodoro-fuentes_de_agua_Norm,SAN_Sin_servicio_sanitario_Norm,SAN_SININF_Norm,SER_Energia_electrica_Si,SER_Energia_electrica_No,SER_Acueducto_Si,SER_Acueducto_No,SER_Alcantarillado_Si,SER_Alcantarillado_No,SER_Gas_natural_Si,SER_Gas_natural_No,SER_Gas_natural_Sin_informacion,SER_Basuras_Si,SER_Basuras_No,SER_Internet_Si,SER_Internet_No,SER_Internet_Sin_informacion,SER_Energia_electrica_Si_Norm,SER_Energia_electrica_No_Norm,SER_Acueducto_Si_Norm,SER_Acueducto_No_Norm,SER_Alcantarillado_Si_Norm,SER_Alcantarillado_No_Norm,SER_Gas_natural_Si_Norm,SER_Gas_natural_No_Norm,SER_Gas_natural_Sin_informacion_Norm,SER_Basuras_Si_Norm,SER_Basuras_No_Norm,SER_Internet_Si_Norm,SER_Internet_No_Norm,SER_Internet_Sin_informacion_Norm,SX_Hombre,SX_Mujer,SX_Hombre_Norm,SX_Mujer_Norm,Pareja_joven_sin_hijos,Etapa_inicial,Etapa_de_expansion_,Etapa_de_consolidacion_,Etapa_de_salida_,Pareja_mayor_sin_hijos,Pareja_joven_sin_hijos_Norm,Etapa_inicial_Norm,Etapa_de_expansion__Norm,Etapa_de_consolidacion__Norm,Etapa_de_salida__Norm,Pareja_mayor_sin_hijos_Norm
22,NORTE DE SANTANDER,54,25,605677,29667,15483,54324,99474,0.048981553,0.02556313,0.08969137,0.164236053,42,5,PARTIDO LIBERAL COLOMBIANO: 0.227,PARTIDO CONSERVADOR COLOMBIANO: 0.189,PARTIDO CAMBIO RADICAL: 0.189,PARTIDO DE LA U: 0.179,PARTIDO CENTRO DEMOCRÁTICO: 0.152,938617,64078,9075,0.9277,0.0633,0.009,100039.0,109191.0,116743.0,119477.0,121407.0,112051.0,101871.0,96630.0,82080.0,78850.0,74013.0,64546.0,51094.0,38445.0,27180.0,20260.0,12943.0,10923.0,0.075,0.082,0.087,0.089,0.091,0.084,0.076,0.072,0.061,0.059,0.055,0.048,0.038,0.029,0.02,0.015,0.01,0.008,70766.0,29794.0,173365.0,256577.0,51517.0,164934.0,247590.0,33710.0,1538.0,2514.0,46639.0,19825.0,106814.0,23370.0,17725.0,0.057,0.024,0.139,0.206,0.041,0.132,0.199,0.027,0.001,0.002,0.037,0.016,0.086,0.019,0.014,4510.0,238.0,38.0,22.0,5276.0,1315612.0,12047.0,0.0034,0.0002,0.0,0.0,0.0039,0.9835,0.009,1137382,292460,235034,6626,45379,23723,48473,473287,12400,0.257,0.207,0.006,0.04,0.021,0.043,0.416,0.011,1137382,292460,235034,6626,45379,23723,48473,473287,12400,0.257,0.207,0.006,0.04,0.021,0.043,0.416,0.011,299409,46856,10028,1361,9209,14460,3392,0.778,0.122,0.026,0.004,0.024,0.038,0.009,368120,16595,320229,64486,304985,79730,189440,191882,3393,319405,65310,108485,272722,3508,0.957,0.043,0.832,0.168,0.793,0.207,0.492,0.499,0.009,0.83,0.17,0.282,0.709,0.009,664057,682749,0.493,0.507,15325.0,34933.0,54604.0,95375.0,88523.0,28910.0,0.048,0.11,0.172,0.3,0.279,0.091
23,PUTUMAYO,86,64,102332,5398,2731,6890,15019,0.052749873,0.026687644,0.067329867,0.146767385,40,5,PARTIDO LIBERAL COLOMBIANO: 0.344,PARTIDO CONSERVADOR COLOMBIANO: 0.253,PARTIDO ALIANZA VERDE: 0.232,PARTIDO POLITICO MIRA: 0.060,PARTIDO CENTRO DEMOCRÁTICO: 0.055,188808,12076,1908,0.931,0.0595,0.0094,22127.0,24775.0,27783.0,29330.0,26679.0,23335.0,21714.0,20175.0,17123.0,15454.0,12904.0,10553.0,7974.0,6103.0,4535.0,3236.0,2040.0,1637.0,0.08,0.089,0.1,0.106,0.096,0.084,0.078,0.073,0.062,0.056,0.047,0.038,0.029,0.022,0.016,0.012,0.007,0.006,11058.0,5968.0,34923.0,63808.0,12247.0,38428.0,48190.0,7807.0,359.0,533.0,9544.0,5115.0,13162.0,4283.0,52.0,0.043,0.023,0.137,0.25,0.048,0.15,0.189,0.031,0.001,0.002,0.037,0.02,0.052,0.017,0.0,50013.0,17.0,12.0,30.0,10008.0,213515.0,3882.0,0.1802,0.0001,0.0,0.0001,0.0361,0.7695,0.014,235965,65288,38555,856,13274,4212,7576,99033,7171,0.277,0.163,0.004,0.056,0.018,0.032,0.42,0.03,235965,65288,38555,856,13274,4212,7576,99033,7171,0.277,0.163,0.004,0.056,0.018,0.032,0.42,0.03,48473,27653,1757,1242,3068,8551,764,0.53,0.302,0.019,0.014,0.034,0.093,0.008,70944,20564,47315,44193,49898,41610,13261,77496,751,54930,36578,9947,80704,857,0.775,0.225,0.517,0.483,0.545,0.455,0.145,0.847,0.008,0.6,0.4,0.109,0.882,0.009,142900,140297,0.505,0.495,3725.0,10788.0,15371.0,24151.0,10228.0,7472.0,0.052,0.15,0.214,0.337,0.143,0.104
24,QUINDIO,63,26,241967,22519,6897,27718,57134,0.09306641,0.028503887,0.114552811,0.236123108,41,4,PARTIDO LIBERAL COLOMBIANO: 0.340,PARTIDO CENTRO DEMOCRÁTICO: 0.214,PARTIDO CAMBIO RADICAL: 0.213,PARTIDO POLITICO MIRA: 0.132,NO INFO,394224,17868,3706,0.9481,0.043,0.0089,26856.0,29112.0,33845.0,40663.0,42403.0,38453.0,34800.0,35824.0,31373.0,32455.0,34540.0,32495.0,28380.0,22324.0,16380.0,11600.0,7771.0,6337.0,0.053,0.058,0.067,0.08,0.084,0.076,0.069,0.071,0.062,0.064,0.068,0.064,0.056,0.044,0.032,0.023,0.015,0.013,19137.0,7271.0,56390.0,79966.0,19280.0,66732.0,113263.0,13693.0,361.0,1554.0,23277.0,11826.0,50336.0,13250.0,6369.0,0.04,0.015,0.117,0.166,0.04,0.138,0.235,0.028,0.001,0.003,0.048,0.024,0.104,0.027,0.013,2854.0,6.0,21.0,2.0,5990.0,491947.0,4791.0,0.0056,0.0,0.0,0.0,0.0118,0.973,0.0095,453480,105845,95875,5298,17674,14442,24107,185756,4483,0.233,0.211,0.012,0.039,0.032,0.053,0.41,0.01,453480,105845,95875,5298,17674,14442,24107,185756,4483,0.233,0.211,0.012,0.039,0.032,0.053,0.41,0.01,150478,15929,905,116,908,431,1287,0.885,0.094,0.005,0.001,0.005,0.003,0.008,168496,1558,165221,4833,154836,15218,136914,31826,1314,159096,10958,77442,91272,1340,0.991,0.009,0.972,0.028,0.911,0.089,0.805,0.187,0.008,0.936,0.064,0.455,0.537,0.008,245663,263977,0.482,0.518,6880.0,10433.0,16625.0,32442.0,45474.0,18835.0,0.053,0.08,0.127,0.248,0.348,0.144
25,RISARALDA,66,24,384368,29780,11779,42562,84121,0.077477834,0.030645111,0.110732423,0.218855368,44,7,PARTIDO LIBERAL COLOMBIANO: 0.213,PARTIDO CENTRO DEMOCRÁTICO: 0.172,PARTIDO CONSERVADOR COLOMBIANO: 0.161,PARTIDO POLITICO MIRA: 0.114,PARTIDO CAMBIO RADICAL: 0.110,638607,29512,5431,0.9481,0.0438,0.0081,47255.0,53954.0,60001.0,67320.0,69564.0,66168.0,60012.0,61084.0,51700.0,52257.0,54293.0,50041.0,43912.0,33694.0,25098.0,17435.0,11402.0,9570.0,0.057,0.065,0.072,0.081,0.083,0.079,0.072,0.073,0.062,0.063,0.065,0.06,0.053,0.04,0.03,0.021,0.014,0.011,30684.0,14091.0,98609.0,146083.0,31606.0,106032.0,173477.0,21591.0,600.0,1709.0,39993.0,17227.0,80480.0,20770.0,9292.0,0.039,0.018,0.124,0.184,0.04,0.134,0.219,0.027,0.001,0.002,0.05,0.022,0.102,0.026,0.012,29637.0,18.0,94.0,29.0,16533.0,782335.0,6114.0,0.0355,0.0,0.0001,0.0,0.0198,0.9372,0.0073,738112,161424,174429,10036,22046,23464,38594,301186,6933,0.219,0.236,0.014,0.03,0.032,0.052,0.408,0.009,738112,161424,174429,10036,22046,23464,38594,301186,6933,0.219,0.236,0.014,0.03,0.032,0.052,0.408,0.009,234068,23726,2331,730,8439,2456,1509,0.857,0.087,0.009,0.003,0.031,0.009,0.006,271487,1772,256692,16567,240402,32857,206994,64716,1549,244517,28742,142422,129220,1617,0.994,0.006,0.939,0.061,0.88,0.12,0.758,0.237,0.006,0.895,0.105,0.521,0.473,0.006,401748,437849,0.479,0.521,12122.0,18611.0,29597.0,54490.0,70808.0,27455.0,0.057,0.087,0.139,0.256,0.332,0.129
26,SAN ANDRES,88,56,24289,741,591,1365,2697,0.030507637,0.024332002,0.056198279,0.111037918,34,4,PARTIDO LIBERAL COLOMBIANO: 0.416,PARTIDO CAMBIO RADICAL: 0.327,G.S.C. MOVIMIENTO DE INTEGRACION REGIONAL: 0.144,PARTIDO SOMOS: 0.052,NO INFO,36684,460,317,0.9793,0.0123,0.0085,3350.0,3448.0,3575.0,3504.0,3615.0,4205.0,3703.0,3446.0,3018.0,3180.0,3578.0,3345.0,2239.0,1458.0,924.0,607.0,354.0,285.0,0.07,0.072,0.075,0.073,0.076,0.088,0.077,0.072,0.063,0.066,0.075,0.07,0.047,0.03,0.019,0.013,0.007,0.006,504.0,848.0,3396.0,4657.0,2421.0,7111.0,11701.0,1608.0,29.0,135.0,4434.0,1700.0,4666.0,944.0,0.0,0.011,0.019,0.077,0.105,0.055,0.161,0.265,0.036,0.001,0.003,0.1,0.039,0.106,0.021,0.0,20.0,0.0,20308.0,10.0,6528.0,20640.0,328.0,0.0004,0.0,0.4246,0.0002,0.1365,0.4315,0.0069,41500,10429,9579,315,1599,711,1204,17054,609,0.251,0.231,0.008,0.039,0.017,0.029,0.411,0.015,41500,10429,9579,315,1599,711,1204,17054,609,0.251,0.231,0.008,0.039,0.017,0.029,0.411,0.015,2423,13301,77,19,64,241,72,0.15,0.821,0.005,0.001,0.004,0.015,0.004,16102,95,5940,10257,2687,13510,0,16197,0,15729,468,4333,11788,76,0.994,0.006,0.367,0.633,0.166,0.834,0.0,1.0,0.0,0.971,0.029,0.268,0.728,0.005,23326,24973,0.483,0.517,555.0,1119.0,1832.0,3067.0,3843.0,1694.0,0.046,0.092,0.151,0.253,0.317,0.14
27,SAN ANDRES,88,56,24289,741,591,1365,2697,0.030507637,0.024332002,0.056198279,0.111037918,34,4,PARTIDO LIBERAL COLOMBIANO: 0.416,PARTIDO CAMBIO RADICAL: 0.327,G.S.C. MOVIMIENTO DE INTEGRACION REGIONAL: 0.144,PARTIDO SOMOS: 0.052,NO INFO,36684,460,317,0.9793,0.0123,0.0085,3350.0,3448.0,3575.0,3504.0,3615.0,4205.0,3703.0,3446.0,3018.0,3180.0,3578.0,3345.0,2239.0,1458.0,924.0,607.0,354.0,285.0,0.07,0.072,0.075,0.073,0.076,0.088,0.077,0.072,0.063,0.066,0.075,0.07,0.047,0.03,0.019,0.013,0.007,0.006,2037.0,1664.0,6912.0,12327.0,2901.0,10776.0,10029.0,2685.0,333.0,351.0,2410.0,701.0,2007.0,723.0,103.0,0.036,0.03,0.124,0.22,0.052,0.193,0.179,0.048,0.006,0.006,0.043,0.013,0.036,0.013,0.002,20.0,0.0,20308.0,10.0,6528.0,20640.0,328.0,0.0004,0.0,0.4246,0.0002,0.1365,0.4315,0.0069,41500,10429,9579,315,1599,711,1204,17054,609,0.251,0.231,0.008,0.039,0.017,0.029,0.411,0.015,41500,10429,9579,315,1599,711,1204,17054,609,0.251,0.231,0.008,0.039,0.017,0.029,0.411,0.015,2423,13301,77,19,64,241,72,0.15,0.821,0.005,0.001,0.004,0.015,0.004,16102,95,5940,10257,2687,13510,0,16197,0,15729,468,4333,11788,76,0.994,0.006,0.367,0.633,0.166,0.834,0.0,1.0,0.0,0.971,0.029,0.268,0.728,0.005,23326,24973,0.483,0.517,555.0,1119.0,1832.0,3067.0,3843.0,1694.0,0.046,0.092,0.151,0.253,0.317,0.14
28,SANTANDER,68,27,847540,82581,24765,79470,186816,0.097436109,0.02921986,0.093765486,0.220421455,44,8,PARTIDO LIBERAL COLOMBIANO: 0.332,PARTIDO CENTRO DEMOCRÁTICO: 0.209,COALICION ALTERNATIVA SANTANDEREANA AS: 0.106,PARTIDO CAMBIO RADICAL: 0.099,PARTIDO CONSERVADOR COLOMBIANO: 0.092,1472991,65845,15812,0.9475,0.0424,0.0102,134801.0,147068.0,155512.0,161017.0,171035.0,161606.0,149819.0,145464.0,128373.0,127128.0,124021.0,106800.0,85331.0,66176.0,48801.0,35764.0,23399.0,19914.0,0.068,0.074,0.078,0.081,0.086,0.081,0.075,0.073,0.064,0.064,0.062,0.054,0.043,0.033,0.024,0.018,0.012,0.01,70664.0,42077.0,256010.0,331804.0,66769.0,209945.0,421542.0,43937.0,1763.0,4414.0,88253.0,61008.0,195793.0,52150.0,7.0,0.038,0.023,0.139,0.18,0.036,0.114,0.228,0.024,0.001,0.002,0.048,0.033,0.106,0.028,0.0,1219.0,347.0,150.0,49.0,22416.0,1946369.0,21479.0,0.0006,0.0002,0.0001,0.0,0.0113,0.9771,0.0108,1726573,381428,448546,14056,50068,43026,75138,692690,21621,0.221,0.26,0.008,0.029,0.025,0.044,0.401,0.013,1726573,381428,448546,14056,50068,43026,75138,692690,21621,0.221,0.26,0.008,0.029,0.025,0.044,0.401,0.013,452581,113078,15062,892,10808,11248,4707,0.744,0.186,0.025,0.001,0.018,0.018,0.008,602751,5625,516267,92109,461115,147261,414796,188820,4760,484014,124362,274017,329400,4959,0.991,0.009,0.849,0.151,0.758,0.242,0.682,0.31,0.008,0.796,0.204,0.45,0.541,0.008,983439,1025402,0.49,0.51,24496.0,52853.0,82076.0,138398.0,142483.0,62208.0,0.049,0.105,0.163,0.275,0.284,0.124
29,SUCRE,70,28,436855,17516,29933,33416,80865,0.040095684,0.068519303,0.0764922,0.185107187,42,6,PARTIDO CAMBIO RADICAL: 0.428,PARTIDO OPCIÓN CIUDADANA: 0.234,PARTIDO LIBERAL COLOMBIANO: 0.174,PARTIDO CENTRO DEMOCRÁTICO: 0.049,"COALICION LISTA DE LA DECENCIA (UP,ASI): 0.029",547315,77672,3960,0.8702,0.1235,0.0063,70309.0,78676.0,82193.0,79559.0,71640.0,66758.0,59647.0,57243.0,50677.0,49958.0,46941.0,39682.0,31521.0,25907.0,18700.0,13873.0,8925.0,7916.0,0.082,0.091,0.096,0.092,0.083,0.078,0.069,0.067,0.059,0.058,0.055,0.046,0.037,0.03,0.022,0.016,0.01,0.009,75637.0,21953.0,94087.0,157031.0,32339.0,111319.0,151635.0,25163.0,1673.0,1650.0,37848.0,9276.0,52952.0,11377.0,60.0,0.096,0.028,0.12,0.2,0.041,0.142,0.193,0.032,0.002,0.002,0.048,0.012,0.068,0.015,0.0,104878.0,134.0,135.0,46.0,102654.0,647511.0,4767.0,0.1219,0.0002,0.0002,0.0001,0.1193,0.7528,0.0055,714956,245834,111434,1781,44625,8769,26579,269081,6853,0.344,0.156,0.002,0.062,0.012,0.037,0.376,0.01,714956,245834,111434,1781,44625,8769,26579,269081,6853,0.344,0.156,0.002,0.062,0.012,0.037,0.376,0.01,126372,63347,3304,1373,720,32909,1310,0.551,0.276,0.014,0.006,0.003,0.143,0.006,221591,7744,195362,33973,129300,100035,132145,95876,1314,133504,95831,37837,190167,1331,0.966,0.034,0.852,0.148,0.564,0.436,0.576,0.418,0.006,0.582,0.418,0.165,0.829,0.006,434459,429577,0.503,0.497,7977.0,22097.0,33653.0,59128.0,55915.0,21629.0,0.04,0.11,0.168,0.295,0.279,0.108
30,TOLIMA,73,29,504984,31455,17864,50379,99698,0.062289102,0.035375378,0.099763557,0.197428037,44,8,PARTIDO CONSERVADOR COLOMBIANO: 0.263,PARTIDO CENTRO DEMOCRÁTICO: 0.190,PARTIDO DE LA U: 0.112,PARTIDO CAMBIO RADICAL: 0.112,PARTIDO LIBERAL COLOMBIANO: 0.102,881663,56801,9444,0.9301,0.0599,0.01,78713.0,89811.0,101068.0,105253.0,96490.0,87309.0,79598.0,80641.0,73571.0,75304.0,77283.0,70342.0,59168.0,47667.0,36224.0,26579.0,17698.0,14781.0,0.065,0.074,0.083,0.086,0.079,0.072,0.065,0.066,0.06,0.062,0.063,0.058,0.049,0.039,0.03,0.022,0.015,0.012,58496.0,21669.0,162910.0,234218.0,45667.0,150729.0,235615.0,30480.0,1470.0,3181.0,45137.0,24376.0,94773.0,24120.0,55.0,0.052,0.019,0.144,0.207,0.04,0.133,0.208,0.027,0.001,0.003,0.04,0.022,0.084,0.021,0.0,45156.0,157.0,60.0,37.0,4991.0,1155632.0,11467.0,0.0371,0.0001,0.0,0.0,0.0041,0.9492,0.0094,1059738,295938,207877,6296,40314,22754,51553,423117,11889,0.279,0.196,0.006,0.038,0.021,0.049,0.399,0.011,1059738,295938,207877,6296,40314,22754,51553,423117,11889,0.279,0.196,0.006,0.038,0.021,0.049,0.399,0.011,293567,72048,17022,1658,6918,11596,4075,0.722,0.177,0.042,0.004,0.017,0.028,0.01,397981,8903,345378,61506,301140,105744,281894,120883,4107,301922,104962,123546,279180,4158,0.978,0.022,0.849,0.151,0.74,0.26,0.693,0.297,0.01,0.742,0.258,0.304,0.686,0.01,609017,619746,0.496,0.504,13471.0,30068.0,49132.0,88094.0,82939.0,47851.0,0.043,0.097,0.158,0.283,0.266,0.154
31,VALLE,76,31,1579036,104991,38974,155992,299957,0.066490568,0.024682148,0.098789388,0.189962103,47,10,PARTIDO LIBERAL COLOMBIANO: 0.214,PARTIDO DE LA U: 0.211,PARTIDO CENTRO DEMOCRÁTICO: 0.110,PARTIDO CONSERVADOR COLOMBIANO: 0.091,PARTIDO ALIANZA VERDE: 0.078,2897906,103190,30058,0.956,0.034,0.0099,216805.0,243178.0,271092.0,296467.0,318843.0,304619.0,276973.0,274749.0,242830.0,244068.0,246732.0,220236.0,183443.0,141401.0,104724.0,77050.0,52949.0,46070.0,0.058,0.065,0.072,0.079,0.085,0.081,0.074,0.073,0.065,0.065,0.066,0.059,0.049,0.038,0.028,0.02,0.014,0.012,111703.0,65497.0,407570.0,539112.0,144166.0,464182.0,895239.0,97290.0,3487.0,11703.0,225721.0,102457.0,371134.0,83581.0,53.0,0.032,0.019,0.116,0.153,0.041,0.132,0.254,0.028,0.001,0.003,0.064,0.029,0.105,0.024,0.0,30659.0,136.0,443.0,290.0,644580.0,3045562.0,40559.0,0.0081,0.0,0.0001,0.0001,0.1713,0.8095,0.0108,3329183,847634,676153,30161,138247,77976,157764,1363129,38119,0.255,0.203,0.009,0.042,0.023,0.047,0.409,0.011,3329183,847634,676153,30161,138247,77976,157764,1363129,38119,0.255,0.203,0.009,0.042,0.023,0.047,0.409,0.011,1102719,86150,7549,3193,17664,4436,9859,0.895,0.07,0.006,0.003,0.014,0.004,0.008,1216379,15191,1174360,57210,1119657,111913,1003741,218169,9660,1156676,74894,683961,537450,10159,0.988,0.012,0.954,0.046,0.909,0.091,0.815,0.177,0.008,0.939,0.061,0.555,0.436,0.008,1800614,1989260,0.475,0.525,50939.0,86545.0,137280.0,243983.0,321355.0,122662.0,0.053,0.09,0.143,0.253,0.334,0.127
32,VAUPES,97,68,11817,192,165,325,682,0.016247779,0.013962935,0.02750275,0.057713464,22,2,PARTIDO LIBERAL COLOMBIANO: 0.445,PARTIDO DE LA U: 0.321,NO INFO,NO INFO,NO INFO,16224,2024,397,0.8702,0.1086,0.0213,3150.0,3718.0,3450.0,3171.0,2650.0,2175.0,1891.0,1655.0,1437.0,1322.0,1126.0,1029.0,758.0,573.0,335.0,279.0,165.0,79.0,0.109,0.128,0.119,0.109,0.091,0.075,0.065,0.057,0.05,0.046,0.039,0.036,0.026,0.02,0.012,0.01,0.006,0.003,1848.0,1283.0,3920.0,11502.0,1542.0,6145.0,3084.0,1012.0,203.0,176.0,576.0,357.0,858.0,336.0,42.0,0.056,0.039,0.119,0.35,0.047,0.187,0.094,0.031,0.006,0.005,0.018,0.011,0.026,0.01,0.001,24102.0,0.0,10.0,8.0,239.0,3679.0,925.0,0.8322,0.0,0.0003,0.0003,0.0083,0.127,0.0319,27630,6953,3499,54,504,118,770,9371,6361,0.252,0.127,0.002,0.018,0.004,0.028,0.339,0.23,27630,6953,3499,54,504,118,770,9371,6361,0.252,0.127,0.002,0.018,0.004,0.028,0.339,0.23,1974,1032,57,34,37,3448,247,0.289,0.151,0.008,0.005,0.005,0.505,0.036,3249,3580,2393,4436,2124,4705,0,6829,0,2438,4391,280,6253,296,0.476,0.524,0.35,0.65,0.311,0.689,0.0,1.0,0.0,0.357,0.643,0.041,0.916,0.043,19793,17897,0.525,0.475,280.0,742.0,1120.0,2288.0,854.0,359.0,0.05,0.131,0.198,0.405,0.151,0.064
33,VICHADA,99,72,24647,346,448,1106,1900,0.01403822,0.018176654,0.044873615,0.077088489,34,4,PARTIDO CENTRO DEMOCRÁTICO: 0.334,PARTIDO CAMBIO RADICAL: 0.298,PARTIDO LIBERAL COLOMBIANO: 0.228,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS: 0.080,NO INFO,38377,5232,926,0.8617,0.1175,0.0208,9532.0,9091.0,8247.0,7347.0,6479.0,5611.0,4832.0,4345.0,3718.0,3117.0,2714.0,2181.0,1535.0,1083.0,651.0,452.0,275.0,195.0,0.133,0.127,0.115,0.103,0.091,0.079,0.068,0.061,0.052,0.044,0.038,0.031,0.021,0.015,0.009,0.006,0.004,0.003,6874.0,1986.0,7995.0,21507.0,2207.0,9181.0,7169.0,1391.0,199.0,290.0,1429.0,876.0,1750.0,573.0,117.0,0.108,0.031,0.126,0.338,0.035,0.144,0.113,0.022,0.003,0.005,0.022,0.014,0.028,0.009,0.002,41919.0,1.0,5.0,5.0,558.0,26700.0,2217.0,0.5871,0.0,0.0001,0.0001,0.0078,0.3739,0.031,57201,21908,4959,168,2303,332,1252,20293,5986,0.383,0.087,0.003,0.04,0.006,0.022,0.355,0.105,57201,21908,4959,168,2303,332,1252,20293,5986,0.383,0.087,0.003,0.04,0.006,0.022,0.355,0.105,882,8416,118,465,77,7375,366,0.05,0.476,0.007,0.026,0.004,0.417,0.021,7697,10002,6506,11193,1140,16559,0,17699,0,6424,11275,903,16357,439,0.435,0.565,0.368,0.632,0.064,0.936,0.0,1.0,0.0,0.363,0.637,0.051,0.924,0.025,40694,35948,0.531,0.469,1130.0,2769.0,3313.0,5201.0,1612.0,1188.0,0.074,0.182,0.218,0.342,0.106,0.078
